edad,sexo,alfabeto,sistema_salud,nivel_educativo,ocupacion_jerarquia,ingreso
46,0,0,5,4,2,12000
33,0,0,1,4,2,1000
44,0,0,1,2,2,12000
58,0,0,5,3,3,20000
47,0,0,1,4,2,10000
39,0,0,5,5,2,20000
26,1,0,1,6,2,5000
47,0,0,5,6,2,18000
50,0,0,5,6,2,18000
48,0,0,1,3,2,15000
43,1,0,5,2,2,5000
33,0,0,1,5,2,2000
22,1,0,1,5,2,6000
67,0,0,3,5,2,35000
50,0,0,1,2,2,9000
36,0,0,1,3,2,18000
39,0,0,1,4,2,12000
48,1,0,1,3,2,4500
59,0,0,5,6,2,15000
60,0,0,1,1,2,12000
34,0,0,1,2,2,11000
28,0,0,1,5,2,4320
37,0,0,1,2,2,5000
39,1,0,1,2,2,2500
38,1,0,5,1,2,1200
32,1,0,1,4,2,2000
39,1,0,5,3,2,2000
33,0,0,3,4,2,20000
53,0,0,5,4,2,10000
60,0,0,1,3,2,10000
47,1,0,1,4,3,15000
57,0,0,1,3,2,5000
23,1,0,5,5,2,10000
56,0,0,1,4,2,9000
28,0,0,6,6,2,15000
58,0,0,5,4,2,10000
41,0,0,1,6,3,9000
42,1,0,5,5,2,9000
43,0,0,1,3,3,13000
27,1,0,1,5,2,5000
32,0,0,1,3,2,16000
56,1,0,5,2,2,5000
36,0,0,5,3,2,1500
38,0,0,1,4,2,15000
49,1,0,5,3,2,4000
32,1,0,5,6,2,5000
35,1,0,5,6,2,12000
42,0,0,5,2,2,10000
53,0,0,5,6,2,20000
54,1,0,6,6,2,4000
54,0,0,1,5,2,8000
63,0,0,5,3,2,30000
57,0,0,1,1,2,14000
44,0,0,3,3,3,14000
34,0,0,5,6,2,2500
47,0,0,5,4,2,10000
21,1,0,1,4,2,5000
60,0,0,5,4,2,25000
39,0,0,1,4,2,15000
37,1,0,3,6,3,10000
61,0,0,6,1,2,2700
21,1,0,1,2,2,3000
26,1,0,5,6,2,500
49,1,0,1,6,2,15000
57,0,0,3,4,3,9000
25,0,0,1,3,2,15000
27,0,1,1,1,2,3600
58,0,0,1,3,2,15000
51,1,0,3,6,3,60000
59,0,0,1,2,2,2000
31,0,0,1,5,2,20000
32,0,0,5,4,2,28000
50,0,0,1,4,2,10000
64,1,0,5,2,2,5000
43,1,0,1,4,2,2500
22,0,0,5,5,2,3000
64,0,0,5,6,2,50000
52,0,0,1,2,2,15000
48,1,0,1,4,2,9000
36,0,0,5,4,3,15000
55,0,0,1,4,2,16000
52,0,0,5,4,2,15000
23,0,0,5,5,2,4000
33,0,0,1,4,2,15000
23,0,0,1,5,2,3000
43,0,0,3,1,2,18000
42,1,0,1,6,3,30000
34,1,0,1,6,2,4000
39,1,0,1,3,2,10000
44,0,1,1,1,2,12800
53,0,0,5,5,3,45000
56,1,0,1,2,2,5000
48,0,0,1,2,3,10000
25,0,0,5,5,2,1000
51,0,0,1,2,2,9000
43,0,0,5,6,2,10000
56,0,0,1,4,2,4800
52,1,0,3,4,2,7100
41,0,0,1,2,2,5000
43,1,0,1,4,2,9000
52,1,0,2,4,2,500
54,1,0,3,3,2,10000
36,1,0,5,6,2,10000
72,0,0,3,2,2,1000
56,0,0,1,5,2,9000
53,0,0,1,1,2,4000
48,0,0,1,2,2,10000
41,0,0,1,2,2,20000
34,0,0,1,3,2,2000
22,1,0,1,4,2,3000
48,1,0,1,2,2,7000
60,1,0,5,5,3,40000
37,1,0,5,6,2,30000
35,0,0,3,5,2,40000
30,0,0,5,3,2,10000
38,0,0,3,5,2,8000
16,0,0,1,3,2,2000
40,1,0,1,6,2,10000
57,1,0,5,4,2,600
47,0,0,5,2,2,20000
31,1,0,1,4,2,1000
64,0,0,1,2,2,15000
52,1,0,1,5,2,5000
22,1,0,5,3,2,6000
53,0,0,1,4,2,8000
52,1,0,3,4,2,3000
39,0,0,1,2,3,8000
45,0,0,5,2,2,7000
73,0,0,5,4,2,4000
67,0,0,5,6,3,30000
69,1,0,5,6,2,15000
55,1,0,5,6,2,16000
36,1,0,5,4,2,500
65,0,0,5,5,2,65000
60,1,0,5,4,3,15000
58,0,0,1,1,2,12000
54,0,0,1,3,2,5000
29,1,0,1,4,2,5000
50,1,0,3,3,2,25000
42,0,0,1,1,2,20000
54,0,0,1,2,2,20000
56,0,0,1,3,2,10000
39,1,0,1,3,2,18000
69,0,0,5,3,1,11000
36,0,0,5,6,3,18000
55,0,0,5,4,2,25000
50,0,0,5,2,2,5000
27,1,0,1,6,2,10000
43,0,0,2,3,2,40000
60,0,0,1,6,3,50000
52,1,0,5,4,2,8000
22,1,0,1,5,2,2000
46,0,0,1,3,2,28000
18,0,0,5,3,2,3000
65,0,0,3,2,2,1200
23,0,0,5,5,2,6000
42,0,0,1,2,2,7000
34,0,0,1,2,2,30000
60,0,0,5,2,2,8000
49,0,0,5,4,2,15000
59,1,0,5,6,2,20000
41,0,0,1,2,2,6000
41,0,0,1,4,2,12000
31,1,0,5,6,3,30000
34,0,0,1,3,2,8000
57,0,0,1,2,2,5500
66,1,0,5,6,3,30000
42,1,0,5,6,2,20000
37,1,0,1,4,2,4000
58,1,0,5,4,2,5000
30,1,0,3,4,2,15000
57,0,0,1,6,2,500
41,1,0,3,4,2,3000
31,0,0,5,5,2,7000
27,0,0,1,2,2,10000
48,0,0,1,2,2,9500
25,1,0,5,6,2,2500
51,1,0,1,4,3,25000
17,0,0,5,3,2,600
57,1,0,5,5,2,15000
23,0,0,1,5,2,3000
33,1,0,5,6,2,6000
52,0,0,5,4,2,10000
21,0,0,3,5,2,20000
57,1,0,3,4,2,12000
49,1,0,5,4,2,2000
29,1,0,5,4,2,3000
55,0,0,1,6,2,20000
41,0,0,5,6,2,30000
52,1,0,5,6,2,6000
57,1,0,1,3,2,7000
36,0,0,1,4,2,11500
36,0,0,1,4,2,10000
33,0,0,1,3,2,15000
40,0,0,1,4,2,15000
48,0,0,1,4,2,35000
37,0,0,5,6,3,30000
22,0,0,0,2,2,2000
57,0,0,1,4,2,8400
59,1,0,2,3,2,6000
47,1,0,5,6,2,2500
35,1,0,3,4,2,18000
67,0,0,5,2,2,1000
43,0,0,1,3,2,5000
65,0,0,5,3,2,10000
48,0,0,1,2,3,18000
35,0,0,1,3,2,5000
53,1,0,5,6,2,15000
61,0,0,1,4,2,12000
39,0,0,5,3,2,10900
39,1,0,1,4,2,10000
26,0,0,5,4,2,7000
25,1,0,5,6,3,35000
38,0,0,1,1,2,15000
24,0,0,1,3,2,8000
38,1,0,1,6,2,10000
39,1,0,5,5,2,10000
36,1,0,5,5,2,1500
58,0,0,1,2,2,5000
36,0,0,1,3,2,10000
73,0,0,5,6,2,25000
